Experiment	LibraryLayout	Platform	Run	R1	R2
SRX21207212	PAIRED	ILLUMINA	SRR25474978		
ERX11910245	PAIRED	ILLUMINA	ERR12535868		
ERX11910246	PAIRED	ILLUMINA	ERR12535869		
ERX11910247	PAIRED	ILLUMINA	ERR12535870		
ERX11910248	PAIRED	ILLUMINA	ERR12535871		
ERX11910249	PAIRED	ILLUMINA	ERR12535872		
ERX11910250	PAIRED	ILLUMINA	ERR12535873		
ERX11910251	PAIRED	ILLUMINA	ERR12535874		
ERX11910252	PAIRED	ILLUMINA	ERR12535875		
ERX11910253	PAIRED	ILLUMINA	ERR12535876		
ERX11910254	PAIRED	ILLUMINA	ERR12535877		
ERX11910255	PAIRED	ILLUMINA	ERR12535878		
ERX11910256	PAIRED	ILLUMINA	ERR12535879		
ERX11910257	PAIRED	ILLUMINA	ERR12535880		
ERX11910258	PAIRED	ILLUMINA	ERR12535881		
ERX11910259	PAIRED	ILLUMINA	ERR12535882		
SRX23151898	PAIRED	ILLUMINA	SRR27480536		
SRX23151897	PAIRED	ILLUMINA	SRR27480537		
SRX23151889	PAIRED	ILLUMINA	SRR27480545		
SRX23151883	PAIRED	ILLUMINA	SRR27480551		
SRX23151877	PAIRED	ILLUMINA	SRR27480557		
SRX23151873	PAIRED	ILLUMINA	SRR27480561		
SRX23151872	PAIRED	ILLUMINA	SRR27480562		
SRX23151871	PAIRED	ILLUMINA	SRR27480563		
SRX33647951	PAIRED	ILLUMINA	SRR38883641		
SRX33647950	PAIRED	ILLUMINA	SRR38883642		
SRX33647949	PAIRED	ILLUMINA	SRR38883643		
SRX33647948	PAIRED	ILLUMINA	SRR38883644		
SRX33647957	PAIRED	ILLUMINA	SRR38883645		
SRX33647956	PAIRED	ILLUMINA	SRR38883646		
SRX33647955	PAIRED	ILLUMINA	SRR38883647		
SRX33647954	PAIRED	ILLUMINA	SRR38883648		
SRX33647953	PAIRED	ILLUMINA	SRR38883649		
SRX33647952	PAIRED	ILLUMINA	SRR38883650		
SRX31707489	PAIRED	ILLUMINA	SRR36699694		
SRX31707488	PAIRED	ILLUMINA	SRR36699695		
SRX31707487	PAIRED	ILLUMINA	SRR36699696		
SRX31707486	PAIRED	ILLUMINA	SRR36699697		
SRX31707485	PAIRED	ILLUMINA	SRR36699698		
SRX31707484	PAIRED	ILLUMINA	SRR36699699		
SRX31707483	PAIRED	ILLUMINA	SRR36699700		
SRX31707482	PAIRED	ILLUMINA	SRR36699701		
SRX31707481	PAIRED	ILLUMINA	SRR36699702		
SRX31707480	PAIRED	ILLUMINA	SRR36699703		
SRX31707479	PAIRED	ILLUMINA	SRR36699704		
SRX31707478	PAIRED	ILLUMINA	SRR36699705		
SRX33727226	PAIRED	ILLUMINA	SRR38968871		
SRX33727225	PAIRED	ILLUMINA	SRR38968872		
SRX33727224	PAIRED	ILLUMINA	SRR38968873		
SRX33727223	PAIRED	ILLUMINA	SRR38968874		
SRX5659930	PAIRED	ILLUMINA	SRR8872921		
SRX5659929	PAIRED	ILLUMINA	SRR8872922		
SRX5659928	PAIRED	ILLUMINA	SRR8872923		
SRX5659927	PAIRED	ILLUMINA	SRR8872924		
SRX5659926	PAIRED	ILLUMINA	SRR8872925		
SRX5659925	PAIRED	ILLUMINA	SRR8872926		
SRX5659924	PAIRED	ILLUMINA	SRR8872927		
SRX5659923	PAIRED	ILLUMINA	SRR8872928		
SRX5659922	PAIRED	ILLUMINA	SRR8872929		
SRX5659921	PAIRED	ILLUMINA	SRR8872930		
SRX5659920	PAIRED	ILLUMINA	SRR8872931		
SRX5659919	PAIRED	ILLUMINA	SRR8872932		
ERX1035002	SINGLE	ILLUMINA	ERR957675		
ERX1035003	SINGLE	ILLUMINA	ERR957676		
ERX1035004	SINGLE	ILLUMINA	ERR957677		
ERX1035005	SINGLE	ILLUMINA	ERR957678		
ERX1035006	SINGLE	ILLUMINA	ERR957679		
ERX1035007	SINGLE	ILLUMINA	ERR957680		
ERX1035008	SINGLE	ILLUMINA	ERR957681		
ERX1035009	SINGLE	ILLUMINA	ERR957682		
ERX1035010	SINGLE	ILLUMINA	ERR957683		
ERX1035011	SINGLE	ILLUMINA	ERR957684		
SRX3921725	PAIRED	ILLUMINA	SRR6981330		
SRX3921834	PAIRED	ILLUMINA	SRR6981451		
SRX3921973	PAIRED	ILLUMINA	SRR6981622		
SRX3922005	PAIRED	ILLUMINA	SRR6981671		
SRX3922933	PAIRED	ILLUMINA	SRR6982603		
SRX3961846	PAIRED	ILLUMINA	SRR7029602		
SRX3961845	PAIRED	ILLUMINA	SRR7029603		
SRX3961844	PAIRED	ILLUMINA	SRR7029604		
SRX3961843	PAIRED	ILLUMINA	SRR7029605		
SRX3961842	PAIRED	ILLUMINA	SRR7029606		
SRX3961841	PAIRED	ILLUMINA	SRR7029607		
SRX3961840	PAIRED	ILLUMINA	SRR7029608		
